x7-2	x6-2	x5-2	x4-2	x3-2	x2-2	x1-2	x0-2	y7-2	y6-2	y5-2	y4-2	y3-2	y2-2	y1-2	y0-2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1
0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0
0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0
0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1
0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1
0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1
0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0
0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0
0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0
0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0
0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0
0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0
1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0
1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0
1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0
1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0
