x1	x0	Clock(540,160)	D Flip-Flop(590,320)	D Flip-Flop(590,500)	L1	L0
0	0	0	1	1	1	1
1	0	0	1	1	1	1
1	0	1	0	0	0	0
1	0	0	0	0	0	0
1	0	1	1	0	1	0
1	0	0	1	0	1	0
1	0	1	0	1	0	1
1	0	0	0	1	0	1
1	0	1	1	1	1	1
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
1	1	0	1	1	1	1
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	0	0	0	0	0	0
1	0	1	1	0	1	0
1	0	0	1	0	1	0
1	0	1	0	1	0	1
1	0	0	0	1	0	1
1	0	1	1	1	1	1
1	0	0	1	1	1	1
1	0	1	0	0	0	0
1	1	1	0	0	0	0
1	1	0	0	0	0	0
1	1	1	1	1	1	1
0	1	1	1	1	1	1
0	1	0	1	1	1	1
0	1	1	0	1	0	1
0	1	0	0	1	0	1
0	1	1	1	0	1	0
1	1	1	1	0	1	0
1	1	0	1	0	1	0
1	1	1	0	1	0	1
1	0	1	0	1	0	1
0	0	1	0	1	0	1
0	0	0	0	1	0	1
0	0	1	1	1	1	1
0	1	1	1	1	1	1
0	1	0	1	1	1	1
0	1	1	0	1	0	1
0	1	0	0	1	0	1
0	1	1	1	0	1	0
0	0	1	1	0	1	0
0	0	0	1	0	1	0
0	0	1	1	1	1	1
1	0	1	1	1	1	1
1	0	0	1	1	1	1
1	0	1	0	0	0	0
0	0	1	0	0	0	0
0	0	0	0	0	0	0
0	0	1	1	1	1	1
