x1	x0	Clock(660,60)	J-K Flip-Flop(710,230)	J-K Flip-Flop(710,420)	J-K Flip-Flop(710,600)	Q2	Q1	Q0	y
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
0	0	1	0	1	0	0	1	0	0
0	0	0	0	1	0	0	1	0	0
0	0	1	1	0	1	1	0	1	1
0	0	0	1	0	1	1	0	1	1
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
0	0	1	0	1	0	0	1	0	0
0	0	0	0	1	0	0	1	0	0
1	0	0	0	1	0	0	1	0	0
1	0	1	1	0	1	1	0	1	1
1	0	0	1	0	1	1	0	1	1
0	0	0	1	0	1	1	0	1	1
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
1	0	0	0	0	1	0	0	1	0
1	0	1	0	1	0	0	1	0	0
1	0	0	0	1	0	0	1	0	0
0	0	0	0	1	0	0	1	0	0
0	0	1	1	0	1	1	0	1	1
0	0	0	1	0	1	1	0	1	1
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
1	0	0	0	0	1	0	0	1	0
1	0	1	0	1	0	0	1	0	0
1	0	0	0	1	0	0	1	0	0
1	0	1	1	0	1	1	0	1	1
1	0	0	1	0	1	1	0	1	1
1	0	1	0	1	1	0	1	1	0
1	0	0	0	1	1	0	1	1	0
0	0	0	0	1	1	0	1	1	0
0	0	1	1	1	0	1	1	0	0
0	0	0	1	1	0	1	1	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0
1	0	1	0	1	1	0	1	1	0
1	0	0	0	1	1	0	1	1	0
0	0	0	0	1	1	0	1	1	0
0	0	1	1	1	0	1	1	0	0
0	0	0	1	1	0	1	1	0	0
1	0	0	1	1	0	1	1	0	0
1	0	1	1	0	1	1	0	1	1
1	0	0	1	0	1	1	0	1	1
1	0	1	0	1	1	0	1	1	0
1	0	0	0	1	1	0	1	1	0
1	0	1	1	1	1	1	1	1	0
1	0	0	1	1	1	1	1	1	0
0	0	0	1	1	1	1	1	1	0
0	0	1	1	0	1	1	0	1	1
0	0	0	1	0	1	1	0	1	1
1	0	0	1	0	1	1	0	1	1
1	0	1	0	1	1	0	1	1	0
1	0	0	0	1	1	0	1	1	0
1	0	1	1	1	1	1	1	1	0
1	0	0	1	1	1	1	1	1	0
1	0	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0
1	0	1	0	1	1	0	1	1	0
1	0	0	0	1	1	0	1	1	0
1	0	1	1	1	1	1	1	1	0
1	0	0	1	1	1	1	1	1	0
0	0	0	1	1	1	1	1	1	0
0	1	0	1	1	1	1	1	1	0
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
1	1	1	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0
1	0	1	0	1	1	0	1	1	0
1	0	0	0	1	1	0	1	1	0
1	0	1	1	1	1	1	1	1	0
1	1	1	1	1	1	1	1	1	0
1	1	0	1	1	1	1	1	1	0
1	1	1	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
0	0	1	0	1	0	0	1	0	0
0	1	1	0	1	0	0	1	0	0
0	1	0	0	1	0	0	1	0	0
0	1	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
0	0	1	0	1	0	0	1	0	0
0	1	1	0	1	0	0	1	0	0
1	1	1	0	1	0	0	1	0	0
1	1	0	0	1	0	0	1	0	0
1	1	1	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0
1	0	1	0	0	1	0	0	1	0
1	0	0	0	0	1	0	0	1	0
1	0	1	0	1	0	0	1	0	0
0	0	1	0	1	0	0	1	0	0
0	1	1	0	1	0	0	1	0	0
0	1	0	0	1	0	0	1	0	0
0	1	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
0	0	1	0	1	0	0	1	0	0
0	1	1	0	1	0	0	1	0	0
0	1	0	0	1	0	0	1	0	0
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0
0	0	0	0	0	1	0	0	1	0
0	0	1	0	1	0	0	1	0	0
1	0	1	0	1	0	0	1	0	0
1	0	0	0	1	0	0	1	0	0
1	0	1	1	0	1	1	0	1	1
0	0	1	1	0	1	1	0	1	1
0	1	1	1	0	1	1	0	1	1
0	1	0	1	0	1	1	0	1	1
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	1	1	0	0	0	0	0	0	0
